CLAVE CT,NOM TURNO,NOMBRE CT,DOMICILIO,LOCALIDAD INEGI, NOMBRE LOCALIDAD,COLONIA,NOMBRE COLONIA,MUNICIPIO CLAVE INEGI,NOMBRE MUNICIPIO,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCIÓN INTRACURRICULAR,REPROBACIÓN,REPROBACIÓN  CON REGULARIZADOS,EFICIENCIA TERMINAL
14DJN0139U,MATUTINO,JOSEFINA BUENROSTRO NUÑO,FRANCISCO CAMACHO 5,1,SAN MARTIN HIDALGO,9002,CRUZ VERDE,77,SAN MARTIN HIDALGO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0140J,MATUTINO,VICENTE SUAREZ,DOROTEO ARANGO 123,1,TONALA,9057,FRANCISCO VILLA,101,TONALA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0141I,MATUTINO,HEROE DE NACOZARI,CALLE 9 267,1,GUADALAJARA,9391,FERROCARRIL,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0142H,MATUTINO,JAIME NUNO,JUAREZ 3,40,SAN CLEMENTE,0,0,110,UNION DE TULA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0143G,MATUTINO,ELENA ZAPATA,GENERAL CORONADO 1014,1,GUADALAJARA,9061,MEZQUITAN COUNTRY,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0144F,MATUTINO,TESISTAN,LUCIO BLANCO 50,231,TESISTAN (SAN FRANCISCO TESISTAN),0,0,120,ZAPOPAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0145E,MATUTINO,GABRIELA MISTRAL,HUMBOLDT 620,1,GUADALAJARA,0,0,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0146D,MATUTINO,PEDRO MORENO,DOM CON,1,LAGOS DE MORENO,615,LADERA GRANDE,53,LAGOS DE MORENO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0147C,MATUTINO,EMILIANO ZAPATA,LAS FLORES 15,1,ZAPOPAN,9310,VICTOR HUGO,120,ZAPOPAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0148B,MATUTINO,MA SANTOS DELGADILLO VDA YAÑEZ,MONTE CARMELO 332,1,GUADALAJARA,9361,INDEPENDENCIA,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0149A,MATUTINO,SOR JUANA INES DE LA CRUZ,CONSTITUCION 2 A,2,ATOTONILCO EL BAJO,0,0,114,VILLA CORONA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0150Q,MATUTINO,VOCES DE PRIMAVERA,PASEO DE LA REFORMA 48,5,ESTIPAC,0,0,114,VILLA CORONA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0151P,MATUTINO,CUITLAHUAC,TABACHINES 158,243,LA VENTA DEL ASTILLERO,0,0,120,ZAPOPAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0152O,MATUTINO,AGUSTIN YAÑEZ,EMILIANO ZAPATA 331,1,ZAPOPAN,9289,SANTA MA DEL PUEBLITO,120,ZAPOPAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0153N,MATUTINO,BENITO JUAREZ,MACLOVIA GONZALEZ 5,71,MANALISCO,0,0,118,YAHUALICA DE GONZALEZ GALLO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0154M,MATUTINO,SOR JUANA INES DE LA CRUZ,PINO SUAREZ 86,8,SAN LUIS SOYATLAN,0,0,107,TUXCUECA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0155L,MATUTINO,JAVIER URIBE,DOCTOR OLIVA 20,1,AHUALULCO DE MERCADO,9000,AHUALULCO DE MERCADO (ZONA CENTRO),3,AHUALULCO DE MERCADO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0156K,MATUTINO,J JESUS SANCHEZ GUERRERO,PROLONGACION JUAREZ 45,1,TLAJOMULCO DE ZUÑIGA,0,0,97,TLAJOMULCO DE ZUÑIGA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0157J,MATUTINO,ALFONSO GONZALEZ LOPEZ,RAMON CORONA 44,1,VILLA HIDALGO,0,0,116,VILLA HIDALGO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0158I,MATUTINO,SALVADOR DIAZ MIRON,HIDALGO 9,1,ZAPOTILTIC,6016,HUESCALAPA,121,ZAPOTILTIC,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0159H,MATUTINO,EMILIANO ZAPATA,CUAUHTEMOC 60,17,EL ZAPOTE (SAN MIGUEL DEL ZAPOTE),0,0,89,TECHALUTA DE MONTENEGRO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0160X,MATUTINO,FEDERICO FROEBEL,VENUSTIANO CARRANZA 36,1,MAZAMITLA,9059,CANOITAS,59,MAZAMITLA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0161W,CONTINUO (TIEMPO COMPLETO),SEGISMUNDO FREUD,CONSTITUCION 100,1,TONALA,6035,SANTA CRUZ DE LAS HUERTAS,101,TONALA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0162V,MATUTINO,MANUEL M PONCE,EUTIMIO PINZON 984,1,GUADALAJARA,9333,RANCHO NUEVO,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0163U,MATUTINO,FEDERICO FROEBEL,SAN ANTONIO 111,1,ZAPOPAN,9081,LAS FUENTES,120,ZAPOPAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0164T,MATUTINO,PRIMAVERA,CUITLAHUAC 99,1,LA HUERTA,0,0,43,LA HUERTA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0165S,MATUTINO,RAMON LOPEZ VELARDE,GLADIOLA 15,1,ZAPOTILTIC,0,0,121,ZAPOTILTIC,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0166R,MATUTINO,JOSE ANTONIO TORRES,JULIO C SOLORZANO 10,1,AMECA,9000,AMECA (ZONA CENTRO),6,AMECA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0167Q,MATUTINO,AÑO INTERNACIONAL DEL NIÑO,MARIANO AZUELA 12,1,OJUELOS DE JALISCO,0,0,64,OJUELOS DE JALISCO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0168P,MATUTINO,DOLORES IBAÑEZ,INDEPENDENCIA 35,1,EJUTLA,0,0,34,EJUTLA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0169O,MATUTINO,TELPOCHCALLI,AMADO NERVO 17,1,TEOCALTICHE,0,0,91,TEOCALTICHE,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0170D,MATUTINO,SOR JUANA INES DE LA CRUZ,CUITLAHUAC 185,1,TLAQUEPAQUE,6060,SAN PEDRO,98,SAN PEDRO TLAQUEPAQUE,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0171C,MATUTINO,MANUEL LOPEZ COTILLA,VICENTE GUERRERO,1,AMACUECA,0,0,4,AMACUECA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0172B,MATUTINO,CONCEPCION MARTIN DEL CAMPO,ARQUITECTO PEDRO CIPRES 4477,1,GUADALAJARA,9329,MIRAVALLE,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0173A,MATUTINO,JOSE ROSAS MORENO,JOSE ANTONIO TORRES,1,CIUDAD GUZMAN,0,0,23,ZAPOTLAN EL GRANDE,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0174Z,MATUTINO,FRANCISCO I MADERO,VALLARTA 2,1,ZAPOTILTIC,0,0,121,ZAPOTILTIC,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0175Z,MATUTINO,FELICITAS FREGOSO REGLA,ISABEL SANTANA 211,24,SOYATLAN DEL ORO,0,0,11,ATENGO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0176Y,MATUTINO,JOSE VASCONCELOS,TERMINACION GUERRERO 257,1,CIUDAD GUZMAN,0,0,23,ZAPOTLAN EL GRANDE,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0177X,MATUTINO,JESUS GONZALEZ MARTIN,MIGUEL BLANCO 164,58,CAPILLA DE GUADALUPE,0,0,93,TEPATITLAN DE MORELOS,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0178W,MATUTINO,NIÑO OBRERO,LAZARO CARDENAS 49,1,AMECA,9068,OBRERA,6,AMECA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0179V,MATUTINO,MA DE JESUS SANCHEZ MUNOZ,LIBERTAD 27,15,SAN MIGUEL CUYUTLAN,0,0,97,TLAJOMULCO DE ZUÑIGA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0181J,MATUTINO,FEDERICO FROEBEL,SANTA ESTHER 20,1,ZAPOPAN,9222,SANTA MARGARITA,120,ZAPOPAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0182I,MATUTINO,CIPACTLI,HIDALGO 36,1,ACATLAN DE JUAREZ,0,0,2,ACATLAN DE JUAREZ,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0183H,MATUTINO,SOR JUANA INES DE LA CRUZ,BELISARIO DOMINGUEZ 285,1,CIUDAD GUZMAN,9018,LOMAS DE ZAPOTLAN,23,ZAPOTLAN EL GRANDE,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0185F,MATUTINO,TZINTLI,JUAN SEBASTIAN ELCANO 2721,1,GUADALAJARA,9367,INDUSTRIAL,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0186E,MATUTINO,CARLOS B ALONSO,EMILIANO ZAPATA 575,1,TIZAPAN EL ALTO,9002,ATRACADERO,96,TIZAPAN EL ALTO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0187D,MATUTINO,SOR JUANA INES DE LA CRUZ,JUAREZ 265,1,TEOCUITATLAN DE CORONA,0,0,92,TEOCUITATLAN DE CORONA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0188C,MATUTINO,JOAQUIN FIGUEROA,TAMPICO 1,1,OCOTLAN,9030,CAMINO REAL,63,OCOTLAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0190R,MATUTINO,PABLO NERUDA,MARIANO JIMENEZ 37,1,EL GRULLO,0,0,37,EL GRULLO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0191Q,MATUTINO,GENERACION 1938,VICENTE GUERRERO 600,1,ZAPOPAN,6115,LOMA BONITA,120,ZAPOPAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0192P,MATUTINO,NETZAHUALCOYOTL,MERIDA 18,1,UNION DE TULA,0,0,110,UNION DE TULA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0193O,MATUTINO,MARINA ALVARADO PELAYO,OTUMBA 26,1,ATENGO,0,0,11,ATENGO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0194N,MATUTINO,GABILONDO SOLER,CONOCIDO,71,HIERBA DE MATANCILLAS,0,0,64,OJUELOS DE JALISCO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0195M,MATUTINO,CARMEN TORRES VELIZ,DEGOLLADO 165,1,ZAPOPAN,6003,AGUA BLANCA,120,ZAPOPAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0196L,MATUTINO,SALVADOR GALVEZ GUTIERREZ,VISTA HERMOSA 587,1,ZAPOPAN,6120,LOS MAESTROS,120,ZAPOPAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0197K,MATUTINO,AYOYOTL,IGNACIO ZARAGOZA 4,5,AYOTITLAN,0,0,88,TECOLOTLAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0198J,MATUTINO,ARTURO ARIAS OROZCO,ELBA MERINO 1,21,OJO DE AGUA,0,0,88,TECOLOTLAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0199I,MATUTINO,AGUSTIN YAÑEZ,REFUGIO TOLEDO 3,1,YAHUALICA DE GONZALEZ GALLO,9007,CEBETA,118,YAHUALICA DE GONZALEZ GALLO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0200H,CONTINUO (TIEMPO COMPLETO),MARIA GUTIERREZ RODRIGUEZ,NUEVA ESCOCIA 1667,1,GUADALAJARA,9010,PROVIDENCIA,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0201G,MATUTINO,IGNACIO M ALTAMIRANO,EJIDO 156,1,MAGDALENA,0,0,55,MAGDALENA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0202F,MATUTINO,JUANA MA ALFARO,SECUNDINO GONZALEZ 254,1,VALLE DE GUADALUPE,0,0,111,VALLE DE GUADALUPE,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0203E,MATUTINO,LEONA VICARIO,FIDEL VELAZQUEZ 7,13,EL REFUGIO,0,0,83,TALA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0204D,MATUTINO,GREGORIO TORRES QUINTERO,HIDALGO 451,1,ZAPOTILTIC,0,0,121,ZAPOTILTIC,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0205C,MATUTINO,LAURA APODACA,PROGRESO 249,1,TLAQUEPAQUE,6060,SAN PEDRO,98,SAN PEDRO TLAQUEPAQUE,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0206B,MATUTINO,MA SANTOS DELGADILLO DE YAÑEZ,HIDALGO 104,1,YAHUALICA DE GONZALEZ GALLO,0,0,118,YAHUALICA DE GONZALEZ GALLO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0207A,MATUTINO,QUETZAL,LIBERTAD 253,1,EL SALTO,0,0,70,EL SALTO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0208Z,MATUTINO,CARLOS GONZALEZ PEÑA,BELISARIO DOMINGUEZ 201,1,LAGOS DE MORENO,9000,LAGOS DE MORENO (ZONA CENTRO),53,LAGOS DE MORENO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0209Z,MATUTINO,JUSTO SIERRA,AGUSTIN RIVERA 17,110,SANTA TERESA,0,0,109,UNION DE SAN ANTONIO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0210O,MATUTINO,EXIQUIO RICO,MATAMOROS 28,1,ACATLAN DE JUAREZ,9012,EL PLAN,2,ACATLAN DE JUAREZ,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0211N,MATUTINO,JOSE DE JESUS HERNANDEZ GUTIERREZ,ALLENDE 52,1,SAN JULIAN,0,0,74,SAN JULIAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0212M,VESPERTINO,GABRIELA MISTRAL,LIMA 3,1,ATOTONILCO EL ALTO,9009,DE SANTA ROSA,13,ATOTONILCO EL ALTO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0213L,MATUTINO,EMILIANO ZAPATA,PEDRO MORENO,21,LOS AZULITOS,0,0,53,LAGOS DE MORENO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0214K,MATUTINO,VICENTE GUERRERO,24 DE JUNIO 525,1,LAGOS DE MORENO,9146,DE MOYA,53,LAGOS DE MORENO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0215J,MATUTINO,SOR JUANA INES DE LA CRUZ,LAZARO CARDENAS 40,31,SAN LUCAS EVANGELISTA,0,0,97,TLAJOMULCO DE ZUÑIGA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0216I,MATUTINO,ROSAURA ZAPATA,AVENIDA DEL CAMPESINO 130,27,PORTEZUELO,0,0,18,LA BARCA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0218G,MATUTINO,ANDRES TERAN,FRANCISCO VILLA 100,22,LA SAUCEDA,0,0,24,COCULA,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0219F,MATUTINO,SOR JUANA INES DE LA CRUZ,AGUSTIN YAÑEZ 34,3,LO ARADO,0,0,21,CASIMIRO CASTILLO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0220V,MATUTINO,IGNACIO ZARAGOZA,LAUREL 224,1,AUTLAN DE NAVARRO,0,0,15,AUTLAN DE NAVARRO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0222T,MATUTINO,GABRIELA MISTRAL,TOMAS ESCOBEDO 399,1,CIUDAD GUZMAN,0,0,23,ZAPOTLAN EL GRANDE,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0223S,MATUTINO,JUSTO SIERRA,MIGUEL ALEMAN 352,1,ATOTONILCO EL ALTO,9117,LOS NARANJOS,13,ATOTONILCO EL ALTO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0224R,MATUTINO,JOSEFA ORTIZ DE DOMINGUEZ,INOCENCIO AYALA 7,1,ATOTONILCO EL ALTO,9118,JOSEFINO,13,ATOTONILCO EL ALTO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0225Q,MATUTINO,IGNACIO ZARAGOZA,NIÑOS HEROES 99,1,AMATITAN,0,0,5,AMATITAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0226P,MATUTINO,EUFEMIO FIGUEROA BEAZ,GUERRERO 50,1,MIXTLAN,0,0,62,MIXTLAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0227O,MATUTINO,JOSE ROSAS MORENO,AVENIDA 16 DE SEPTIEMBRE,1,HOSTOTIPAQUILLO,0,0,40,HOSTOTIPAQUILLO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0228N,MATUTINO,JUAN DE LA BARRERA,VICENTE GUERRERO 350,1,ACATIC,0,0,1,ACATIC,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0229M,MATUTINO,JOSEFA ORTIZ DE DOMINGUEZ,BENITO JUAREZ 64,59,LAZARO CARDENAS (SAN DIEGO),0,0,69,QUITUPAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0230B,MATUTINO,ROSAURA ZAPATA,ALLENDE 133,1,OCOTLAN,9032,MARCOS CASTELLANOS,63,OCOTLAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0231A,MATUTINO,BENITO JUAREZ,JARDIN DE NIÑOS 7,1,QUITUPAN,0,0,69,QUITUPAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0232Z,MATUTINO,FRANCISCO VILLA,ADOLFO LOPEZ MATEOS 8,23,CAMPO ACOSTA,0,0,100,TOMATLAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0233Z,MATUTINO,MEXICO,SALVADOR DIAZ MIRON 9,114,TEQUESQUITLAN,0,0,27,CUAUTITLAN DE GARCIA BARRAGAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0234Y,MATUTINO,VICENTE GUERRERO,VICENTE GUERRERO 1,31,SAN PEDRO ITZICAN,0,0,66,PONCITLAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0235X,MATUTINO,NIÑOS HEROES,RICARDO FLORES MAGON 1,18,TECOMATES (PIEDRA PESADA),0,0,21,CASIMIRO CASTILLO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0236W,MATUTINO,AMADO NERVO,ZARAGOZA 327,1,JAMAY,0,0,47,JAMAY,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0237V,MATUTINO,JOSE VASCONCELOS,BENITO JUAREZ 1,121,AMAJAQUILLO,0,0,38,GUACHINANGO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0238U,MATUTINO,ROSAURA ZAPATA,RAMON CORONA 385,291,SAN JOSE DE GRACIA,0,0,93,TEPATITLAN DE MORELOS,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0239T,MATUTINO,JOSE MA MORELOS Y PAVON,MARIA LUISA DE LA PEYA 25,1,ATOTONILCO EL ALTO,9139,EL MIRADOR,13,ATOTONILCO EL ALTO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0240I,MATUTINO,EMILIANO ZAPATA,FRANCISCO I MADERO 12,176,SANTA FE,0,0,124,ZAPOTLANEJO,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0241H,MATUTINO,RODOLFO FLORES,AVENIDA MEXICO,1,AYOTLAN,9109,RODOLFO FLORES,16,AYOTLAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0242G,MATUTINO,LAZARO CARDENAS DEL RIO,INDEPENDENCIA 1,50,LA NORIA,0,0,16,AYOTLAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
14DJN0243F,MATUTINO,SOR JUANA INES DE LA CRUZ,CONOCIDO,79,SAN JERONIMO,0,0,16,AYOTLAN,FEDERALIZADO,PREESCOLAR,GENERAL,N.A.,N.A.,N.A.,N.A.
